index;NO_MUNICIPIO;NO_ENTIDADE;IN_BIBLIOTECA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_PISCINA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_SALA_ATELIE_ARTES;IN_SALA_LEITURA;IN_ACESSIBILIDADE_ELEVADOR;IN_INTERNET_APRENDIZAGEM;IN_ACESSO_INTERNET_COMPUTADOR;QT_PROF_PSICOLOGO;Código da Escola;Rede;IDEB
891;Rio de Janeiro;0312001 ESCOLA MUNICIPAL OSWALDO CRUZ;false;false; true;false;false;true;false;true;false;true;true;0;33069352;Municipal;5
892;Rio de Janeiro;0410007 ESCOLA MUNICIPAL PADRE MANUEL DA NOBREGA; true;false;false;false;false;true;false;true;false;false;false;0;33069360;Municipal;5,3
893;Rio de Janeiro;0410004 ESCOLA MUNICIPAL PEDRO LESSA; true;false; true;false;true;true;false;true;false;false;true;0;33069379;Municipal;6
894;Rio de Janeiro;0329001 ESCOLA MUNICIPAL PROFESSOR MOURAO FILHO;false;false; true;false;true;true;false;true;true;true;false;0;33069425;Municipal;4,8
895;Rio de Janeiro;0430007 ESCOLA MUNICIPAL NOVA HOLANDA;false;false;false;false;true;true;false;true;false;true;false;0;33069514;Municipal;5,6
896;Rio de Janeiro;0411502 CIEP DEPUTADO JOSE CARLOS BRANDAO MONTEIRO;false;false; true;false;true;true;false;true;false;false;false;0;33069816;Estadual;4,6
897;Rio de Janeiro;0431501 CIEP MESTRE CARTOLA AGENOR DE OLIVEIRA;false;false; true;false;true;true;false;true;false;false;false;0;33069824;Estadual;4,7
898;Rio de Janeiro;0431004 ESCOLA MUNICIPAL ALFREDO GOMES; true;false;false;false;false;true;false;true;false;true;false;0;33070393;Municipal;6
899;Rio de Janeiro;0431024 ESCOLA MUNICIPAL ANDRADE NEVES;false;false;false;false;true;true;false;true;false;true;false;0;33070415;Municipal;5,2
900;Rio de Janeiro;0431010 ESCOLA MUNICIPAL ARMANDO FAJARDO;false;false; true;false;false;true;false;true;false;true;true;0;33070431;Municipal;5,3
901;Rio de Janeiro;0411049 ESCOLA MUNICIPAL CANTOR E COMPOSITOR GONZAGUINHA;false;false;false;false;false;true;false;true;false;false;false;0;33070482;Municipal;4,5
902;Rio de Janeiro;0431017 ESCOLA MUNICIPAL CARDEAL CAMARA;false; true;false;false;true;true;false;true;false;false;true;0;33070490;Municipal;5,1
903;Rio de Janeiro;0411006 ESCOLA MUNICIPAL CONDE DE AGROLONGO; true;false; true;false;true;true;false;true;false;false;true;0;33070512;Municipal;5,6
904;Rio de Janeiro;0431022 ESCOLA MUNICIPAL ENEYDA RABELLO DE ANDRADE;false;false;false;false;true;true;false;true;false;true;false;0;33070563;Municipal;5
